Year,Condition,Stage,F4,Decompensated_Cirrhosis,Hepatocellular_Carcinoma,Liver_Transplant,Overall_Survival,TFS_Survival,Liver_Related_Death,Nonliver_Related_Death,Background_Mortality,Nash_Resolution,All_Cause_Death
0,NASH,F4,0,0,0,0,1,1,0,0,0,0,0
1,NASH,F4,0,0.053454,0.023974,0,0.938709,0.938709,0.036723,0.080946,0.005859,75703,0.123528
2,NASH,F4,0,0.096826,0.044814,0.002152,0.859598,0.857446,0.070032,0.129042,0.009201,70546,0.208275
3,NASH,F4,0,0.132743,0.063131,0.005309,0.774851,0.769542,0.103576,0.175477,0.012376,65507,0.291429
4,NASH,F4,0,0.16153,0.078785,0.008742,0.691697,0.683403,0.135506,0.219993,0.015522,60647,0.371021
5,NASH,F4,0,0.185213,0.091947,0.012154,0.612105,0.601408,0.164249,0.261321,0.018628,55794,0.444198
6,NASH,F4,0,0.204628,0.102914,0.015368,0.538928,0.526609,0.189739,0.299603,0.021493,51189,0.510835
7,NASH,F4,0,0.220529,0.111992,0.018189,0.472291,0.459275,0.211305,0.334547,0.024063,46735,0.569915
8,NASH,F4,0,0.233338,0.119676,0.020639,0.413211,0.400045,0.230161,0.366304,0.026466,42557,0.622931
9,NASH,F4,0,0.243604,0.125994,0.022835,0.360195,0.347446,0.245813,0.395252,0.028837,38524,0.669902
10,NASH,F4,0,0.251884,0.131188,0.024541,0.313224,0.301477,0.258549,0.421223,0.031007,34747,0.710779
11,NASH,F4,0,0.258653,0.135427,0.025958,0.272347,0.261847,0.269004,0.444851,0.033123,31116,0.746978
12,NASH,F4,0,0.264066,0.138721,0.027018,0.236148,0.227171,0.277231,0.465711,0.03509,27656,0.778032
13,NASH,F4,0,0.268338,0.141382,0.027903,0.205094,0.197571,0.283834,0.484272,0.036945,24524,0.805051
14,NASH,F4,0,0.27169,0.14345,0.028565,0.178075,0.171974,0.28891,0.500267,0.038676,21532,0.827853
15,NASH,F4,0,0.274405,0.145065,0.029126,0.155273,0.150443,0.292907,0.51427,0.040395,18910,0.847572
16,NASH,F4,0,0.276585,0.146281,0.029522,0.135554,0.131832,0.295876,0.526195,0.042011,16539,0.864082
17,NASH,F4,0,0.278229,0.147256,0.029792,0.119044,0.116233,0.298189,0.53663,0.043459,14365,0.878278
18,NASH,F4,0,0.279486,0.147997,0.029979,0.104848,0.102895,0.299855,0.545546,0.044906,12512,0.890307
19,NASH,F4,0,0.280453,0.14853,0.03015,0.092819,0.091436,0.301025,0.553292,0.046316,10929,0.900633
20,NASH,F4,0,0.281215,0.148945,0.03025,0.082493,0.081541,0.301957,0.560088,0.047677,9462,0.909722
21,NASH,F4,0,0.281778,0.149248,0.030333,0.073404,0.072774,0.302613,0.565808,0.048981,8235,0.917402
22,NASH,F4,0,0.28219,0.149488,0.03039,0.065724,0.065316,0.303122,0.571237,0.050251,7202,0.92461
23,NASH,F4,0,0.282513,0.149647,0.030434,0.058516,0.058249,0.303491,0.575886,0.051538,6222,0.930915
24,NASH,F4,0,0.282755,0.149786,0.030455,0.052211,0.052051,0.303739,0.580221,0.052813,5402,0.936773
25,NASH,F4,0,0.282946,0.149886,0.030473,0.046353,0.046267,0.303929,0.584107,0.054052,4696,0.942088
26,NASH,F4,0,0.283074,0.149966,0.030487,0.041038,0.040978,0.304061,0.587713,0.055284,4074,0.947058
27,NASH,F4,0,0.28317,0.150022,0.030493,0.036068,0.036036,0.304176,0.590946,0.056497,3509,0.951619
28,NASH,F4,0,0.283242,0.150063,0.030496,0.031507,0.031489,0.304248,0.59403,0.057625,3086,0.955903
29,NASH,F4,0,0.283296,0.150091,0.030497,0.027223,0.027216,0.304302,0.596766,0.058779,2678,0.959847
30,NASH,F4,0,0.283339,0.150107,0.030498,0.023279,0.023275,0.304352,0.599157,0.059861,2325,0.96337
31,NASH,F4,0,0.283366,0.150125,0.030499,0.019756,0.019753,0.304388,0.601353,0.060882,2022,0.966623
32,NASH,F4,0,0.283401,0.150131,0.030501,0.016503,0.0165,0.30441,0.60332,0.061824,1757,0.969554
33,NASH,F4,0,0.283418,0.150139,0.030501,0.013572,0.01357,0.30443,0.604929,0.062689,1494,0.972048
34,NASH,F4,0,0.283427,0.150146,0.030501,0.011078,0.011078,0.304445,0.606358,0.063475,1279,0.974278
35,NASH,F4,0,0.283436,0.15015,0.030501,0.008848,0.008848,0.304454,0.607601,0.064149,1079,0.976204
36,NASH,F4,0,0.283443,0.150151,0.030501,0.006922,0.006922,0.304464,0.608579,0.064716,893,0.977759
37,NASH,F4,0,0.283446,0.150152,0.030501,0.005367,0.005367,0.304471,0.609317,0.065226,735,0.979014
